checkpoint,size_MB,exists
rhgnn_best.pt,0.0,True
rhgnn_gdelt_v2.pt,4.6,True
rhgnn_icews0515_v1.pt,49.8,True
rhgnn_icews0515_v2.pt,49.8,True
rhgnn_icews0515_v3.pt,49.8,True
rhgnn_icews14_best.pt,45.2,True
rhgnn_icews14_faithful.pt,43.7,True
rhgnn_icews14_irregular.pt,43.7,True
rhgnn_icews14_seed2.pt,43.7,True
rhgnn_icews14_v2.pt,43.7,True
rhgnn_icews14_v3.pt,43.7,True
rhgnn_icews14_v4.pt,43.7,True
rhgnn_icews14_v5.pt,43.7,True
rhgnn_icews18_best.pt,62.7,True
rhgnn_icews18_v2.pt,60.7,True
rhgnn_icews18_v3.pt,60.7,True
rhgnn_icews18_v4.pt,60.7,True
rhgnn_icews18_v5.pt,62.7,True
rhgnn_v1b_icews14.pt,81.4,True
rhgnn_v2_icews14.pt,89.1,True
rhgnn_v2_wiki.pt,32.6,True
rhgnn_v3_gdelt.pt,22.6,True
rhgnn_v3_icews0515.pt,262.6,True
rhgnn_v3_icews14.pt,236.3,True
rhgnn_v3_icews18.pt,290.1,True
rhgnn_v3_wiki.pt,48.0,True
rhgnn_v3_yago.pt,31.2,True
rhgnn_v4_gdelt.pt,0.0,False
rhgnn_v4_gdelt_seed2.pt,23.2,True
rhgnn_v4_gdelt_seed3.pt,23.2,True
rhgnn_v4_icews0515.pt,263.4,True
rhgnn_v4_icews0515_seed2.pt,263.4,True
rhgnn_v4_icews0515_seed3.pt,263.4,True
rhgnn_v4_icews14.pt,237.2,True
rhgnn_v4_icews14_seed2.pt,237.2,True
rhgnn_v4_icews14_seed3.pt,237.2,True
rhgnn_v4_icews18.pt,290.9,True
rhgnn_v4_icews18_seed2.pt,290.9,True
rhgnn_v4_icews18_seed3.pt,290.9,True
rhgnn_v4_tkgl_polecat.pt,306.8,True
rhgnn_v4_tkgl_smallpedia.pt,633.1,True
rhgnn_v4_tkgl_smallpedia_v2.pt,633.1,True
rhgnn_v4_wiki.pt,48.7,True
rhgnn_v4_wiki_seed2.pt,48.7,True
rhgnn_v4_wiki_seed3.pt,48.7,True
rhgnn_v4_wikidata12k.pt,0.0,False
rhgnn_v4_yago.pt,31.9,True
rhgnn_v4_yago_seed2.pt,31.9,True
rhgnn_v4_yago_seed3.pt,31.9,True
rhgnn_v5_eucl_icews14.pt,81.5,True
rhgnn_v5_eucl_wiki.pt,19.6,True
rhgnn_v5_icews14.pt,81.5,True
rhgnn_v5_pure_enhanced_icews14.pt,89.0,True
rhgnn_v5_pure_enhanced_wiki.pt,32.4,True
rhgnn_v5_pure_enhanced_yago.pt,24.6,True
rhgnn_v5_pure_icews14.pt,81.1,True
rhgnn_v5_pure_relcurv_icews14.pt,81.1,True
rhgnn_v5_pure_yago.pt,13.3,True
rhgnn_v5_wiki.pt,19.6,True
rhgnn_wiki_v1.pt,14.8,True
rhgnn_wikidata12k_norm.pt,14.8,True
rhgnn_wikidata12k_v1.pt,14.8,True
rhgnn_yago11k_norm.pt,11.1,True
rhgnn_yago11k_v1.pt,11.1,True
rhgnn_yago_seed2.pt,11.1,True
rhgnn_yago_v1.pt,11.1,True
rhgnn_yago_v2.pt,11.1,True
