dataset,version,name,MRR,H@1,H@3,H@10,MAR,log_file
ICEWS14,V1a,TempHypE-R-LSTM,0.2580,0.1640,0.2931,0.4325,507.8,icews14.log
ICEWS14,V1b,TempHypE-R-GRU,0.2941,0.2009,0.3261,0.4794,,rhgnn_v1b_icews14.log
ICEWS14,V2,TempHypE-R-FA,0.3107,0.2174,0.3529,0.4915,490.2,rhgnn_v2_icews14.log
ICEWS14,V3,TempHypE-R-MA,0.3377,0.2481,0.3801,0.5036,484.0,rhgnn_v3_icews14.log
ICEWS14,V4,TempHypE-R-CA,0.3423,0.2551,0.3767,0.5099,471.7,rhgnn_v4_icews14.log
ICEWS14,V5a,TempHypE-R-FH,0.2172,0.1289,0.2444,0.3858,611.9,icews14_v5.log
ICEWS14,V5b,TempHypE-R-FH-CA,0.2806,0.2022,0.3200,0.4255,,rhgnn_v5_pure_relcurv_icews14.log
ICEWS14,V5c,TempHypE-R-FH-Euc,0.2879,0.2103,0.3219,0.4323,,rhgnn_v5_eucl_icews14.log
ICEWS14,V5d,TempHypE-R-FH-Enh,0.2374,0.1636,0.2735,0.3726,,rhgnn_v5_pure_enhanced_icews14.log
ICEWS18,V3,TempHypE-R-MA,0.2320,0.1425,0.2627,0.4095,1026.3,rhgnn_v3_icews18.log
ICEWS18,V4,TempHypE-R-CA,0.2451,0.1542,0.2768,0.4238,969.1,rhgnn_v4_icews18.log
ICEWS18,V4-s2,TempHypE-R-CA,0.2449,0.1523,0.2761,0.4280,959.2,rhgnn_v4_icews18_seed2.log
ICEWS18,V4-s3,TempHypE-R-CA,0.2427,0.1493,0.2762,0.4266,974.6,rhgnn_v4_icews18_seed3.log
ICEWS05-15,V4-s2,TempHypE-R-CA,0.4205,0.3109,0.4663,0.6429,156.3,rhgnn_v4_icews0515_seed2.log
ICEWS05-15,V4-s3,TempHypE-R-CA,0.4235,0.3114,0.4720,0.6504,141.6,rhgnn_v4_icews0515_seed3.log
YAGO,V1a,TempHypE-R-LSTM,0.3569,0.2243,0.4514,0.5697,1144.9,yago_v1.log
YAGO,V1b,TempHypE-R-GRU,0.3726,0.2459,0.4602,0.5657,1217.4,yago_v2.log
YAGO,V3,TempHypE-R-MA,0.5661,0.5022,0.6080,0.6757,1087.5,rhgnn_v3_yago.log
YAGO,V4,TempHypE-R-CA,0.5577,0.4953,0.5944,0.6665,1020.1,rhgnn_v4_yago.log
YAGO,V4-s2,TempHypE-R-CA,0.5712,0.5093,0.6084,0.6819,792.3,rhgnn_v4_yago_seed2.log
YAGO,V4-s3,TempHypE-R-CA,0.5571,0.4958,0.5942,0.6647,1001.9,rhgnn_v4_yago_seed3.log
YAGO,V5a,TempHypE-R-FH,0.5699,0.5182,0.6105,0.6597,,rhgnn_v5_pure_yago.log
YAGO,V5d,TempHypE-R-FH-Enh,0.5694,0.5191,0.6051,0.6677,,rhgnn_v5_pure_enhanced_yago.log
WIKI,V2,TempHypE-R-FA,0.4932,0.4598,0.5162,0.5441,2036.5,wiki_v1.log
WIKI,V4,TempHypE-R-CA,0.5212,0.4948,0.5383,0.5576,1327.1,rhgnn_v4_wiki.log
WIKI,V4-s2,TempHypE-R-CA,0.5174,0.4892,0.5375,0.5550,1338.9,rhgnn_v4_wiki_seed2.log
WIKI,V4-s3,TempHypE-R-CA,0.5161,0.4882,0.5350,0.5536,1508.7,rhgnn_v4_wiki_seed3.log
WIKI,V5a,TempHypE-R-FH,0.4777,0.4477,0.5034,0.5168,,rhgnn_v5_wiki.log
WIKI,V5c,TempHypE-R-FH-Euc,0.5097,0.4920,0.5203,0.5330,,rhgnn_v5_eucl_wiki.log
tkgl-smallpedia,V4,TempHypE-R-CA,0.1137,0.0968,0.1185,0.1423,19891.2,rhgnn_v4_tkgl_smallpedia.log
tkgl-polecat,V4,TempHypE-R-CA,0.0708,0.0391,0.0717,0.1306,23780.2,rhgnn_v4_tkgl_polecat.log
