dataset,model,version,MRR,H@1,H@3,H@10,MAR,log_file
YAGO,TempHypE-R-CA,V4,0.5577,0.4953,0.5944,0.6665,1020.1,rhgnn_v4_yago.log
ICEWS14,TempHypE-R-CA,V4,0.3423,0.2551,0.3767,0.5099,471.7,rhgnn_v4_icews14.log
ICEWS18,TempHypE-R-CA,V4,0.2451,0.1542,0.2768,0.4238,969.1,rhgnn_v4_icews18.log
WIKI,TempHypE-R-CA,V4,0.5212,0.4948,0.5383,0.5576,1327.1,rhgnn_v4_wiki.log
tkgl-smallpedia,TempHypE-R-CA,V4,0.1137,0.0968,0.1185,0.1423,19891.2,rhgnn_v4_tkgl_smallpedia.log
tkgl-polecat,TempHypE-R-CA,V4,0.0708,0.0391,0.0717,0.1306,23780.2,rhgnn_v4_tkgl_polecat.log
YAGO,TempHypE-R-MA,V3,0.5661,0.5022,0.6080,0.6757,1087.5,rhgnn_v3_yago.log
ICEWS14,TempHypE-R-MA,V3,0.3377,0.2481,0.3801,0.5036,484.0,rhgnn_v3_icews14.log
WIKI,TempHypE-R-MA,V3,0.5212,0.4946,0.5390,0.5581,1962.0,rhgnn_v3_wiki.log
ICEWS18,TempHypE-R-MA,V3,0.2320,0.1425,0.2627,0.4095,1026.3,rhgnn_v3_icews18.log
YAGO,TempHypE-R-FH,V5a,0.5699,0.5182,0.6105,0.6597,,rhgnn_v5_pure_yago.log
ICEWS14,TempHypE-R-FH,V5a,0.2771,0.2004,0.3124,0.4300,,rhgnn_v5_pure_icews14.log
ICEWS14,TempHypE-R-FH-Enh,V5d,0.2374,0.1636,0.2735,0.3726,,rhgnn_v5_pure_enhanced_icews14.log
YAGO,TempHypE-R-FH-Enh,V5d,0.5694,0.5191,0.6051,0.6677,,rhgnn_v5_pure_enhanced_yago.log
ICEWS14,TempHypE-R-FH-Euc,V5c,0.2879,0.2103,0.3219,0.4323,,rhgnn_v5_eucl_icews14.log
WIKI,TempHypE-R-FH-Euc,V5c,0.5097,0.4920,0.5203,0.5330,,rhgnn_v5_eucl_wiki.log
WIKI,TempHypE-R-FH,V5a,0.4777,0.4477,0.5034,0.5168,,rhgnn_v5_wiki.log
ICEWS14,TempHypE-R-FH-CA,V5b,0.2806,0.2022,0.3200,0.4255,,rhgnn_v5_pure_relcurv_icews14.log
YAGO,TempHypE-R-CA-seed2,V4,0.5712,0.5093,0.6084,0.6819,792.3,rhgnn_v4_yago_seed2.log
YAGO,TempHypE-R-CA-seed3,V4,0.5571,0.4958,0.5942,0.6647,1001.9,rhgnn_v4_yago_seed3.log
ICEWS14,TempHypE-R-CA-seed2,V4,0.3427,0.2554,0.3794,0.5119,472.4,rhgnn_v4_icews14_seed2.log
ICEWS14,TempHypE-R-CA-seed3,V4,0.3463,0.2606,0.3799,0.5110,466.5,rhgnn_v4_icews14_seed3.log
ICEWS18,TempHypE-R-CA-seed2,V4,0.2449,0.1523,0.2761,0.4280,959.2,rhgnn_v4_icews18_seed2.log
ICEWS18,TempHypE-R-CA-seed3,V4,0.2427,0.1493,0.2762,0.4266,974.6,rhgnn_v4_icews18_seed3.log
WIKI,TempHypE-R-CA-seed2,V4,0.5174,0.4892,0.5375,0.5550,1338.9,rhgnn_v4_wiki_seed2.log
WIKI,TempHypE-R-CA-seed3,V4,0.5161,0.4882,0.5350,0.5536,1508.7,rhgnn_v4_wiki_seed3.log
ICEWS05-15,TempHypE-R-CA-seed2,V4,0.4205,0.3109,0.4663,0.6429,156.3,rhgnn_v4_icews0515_seed2.log
ICEWS05-15,TempHypE-R-CA-seed3,V4,0.4235,0.3114,0.4720,0.6504,141.6,rhgnn_v4_icews0515_seed3.log
